id,word,deprel,head,head_word,sentence_id
0,As,mark,2,walked,0
1,she,nsubj,2,walked,0
2,walked,advcl,10,started,0
3,past,prep,2,walked,0
4,it,pobj,3,past,0
5,",",punct,10,started,0
6,the,det,7,driver,0
7,driver,poss,9,glass,0
8,'s,case,7,driver,0
9,glass,nsubj,10,started,0
10,started,ROOT,-1,ROOT,0
11,to,aux,12,open,0
12,open,xcomp,10,started,0
13,.,punct,10,started,0
0,With,prep,4,wiped,1
1,a,det,2,handkerchief,1
2,handkerchief,pobj,0,With,1
3,she,nsubj,4,wiped,1
4,wiped,ROOT,-1,ROOT,1
5,the,det,6,sweat,1
6,sweat,dobj,4,wiped,1
7,from,prep,4,wiped,1
8,her,poss,9,forehead,1
9,forehead,pobj,7,from,1
10,.,punct,4,wiped,1
0,Prudently,advmod,4,diversified,2
1,",",punct,4,diversified,2
2,they,nsubj,4,diversified,2
3,had,aux,4,diversified,2
4,diversified,ROOT,-1,ROOT,2
5,into,prep,4,diversified,2
6,banking,pobj,5,into,2
7,and,cc,6,banking,2
8,insurance,conj,6,banking,2
9,",",punct,4,diversified,2
10,and,cc,4,diversified,2
11,as,prep,17,felt,2
12,a,det,13,result,2
13,result,pobj,11,as,2
14,their,poss,15,influence,2
15,influence,nsubjpass,17,felt,2
16,was,auxpass,17,felt,2
17,felt,conj,4,diversified,2
18,at,prep,17,felt,2
19,the,det,21,level,2
20,highest,amod,21,level,2
21,level,pobj,18,at,2
22,.,punct,17,felt,2
0,The,det,2,marriage,3
1,arranged,amod,2,marriage,3
2,marriage,nsubj,4,be,3
3,would,aux,4,be,3
4,be,ROOT,-1,ROOT,3
5,the,det,7,event,3
6,social,amod,7,event,3
7,event,attr,4,be,3
8,of,prep,7,event,3
9,the,det,11,year,3
10,following,amod,11,year,3
11,year,pobj,8,of,3
12,.,punct,4,be,3
0,When,advmod,4,spoke,4
1,at,advmod,2,last,4
2,last,advmod,4,spoke,4
3,she,nsubj,4,spoke,4
4,spoke,advcl,8,were,4
5,",",punct,8,were,4
6,her,poss,7,words,4
7,words,nsubj,8,were,4
8,were,ROOT,-1,ROOT,4
9,heavy,acomp,8,were,4
10,and,cc,9,heavy,4
11,disjointed,conj,9,heavy,4
12,.,punct,8,were,4
0,The,det,1,road,5
1,road,nsubj,5,was,5
2,to,prep,1,road,5
3,the,det,4,coast,5
4,coast,pobj,2,to,5
5,was,ROOT,-1,ROOT,5
6,busy,acomp,5,was,5
7,with,prep,6,busy,5
8,traffic,pobj,7,with,5
9,in,prep,8,traffic,5
10,both,det,11,directions,5
11,directions,pobj,9,in,5
12,.,punct,5,was,5
0,The,det,2,date,6
1,expected,amod,2,date,6
2,date,nsubj,3,came,6
3,came,ROOT,-1,ROOT,6
4,and,cc,3,came,6
5,went,conj,3,came,6
6,.,punct,3,came,6
0,She,nsubj,1,sighed,7
1,sighed,ROOT,-1,ROOT,7
2,at,prep,1,sighed,7
3,the,det,4,irony,7
4,irony,pobj,2,at,7
5,of,prep,4,irony,7
6,it,pobj,5,of,7
7,all,appos,6,it,7
8,",",punct,4,irony,7
9,the,det,10,waste,7
10,waste,appos,4,irony,7
11,of,prep,10,waste,7
12,it,pobj,11,of,7
13,all,appos,12,it,7
14,.,punct,1,sighed,7
0,All,advmod,1,through,8
1,through,prep,6,stopped,8
2,August,pobj,1,through,8
3,the,det,4,rain,8
4,rain,nsubj,6,stopped,8
5,hardly,advmod,6,stopped,8
6,stopped,ROOT,-1,ROOT,8
7,.,punct,6,stopped,8
0,Thank,ROOT,-1,ROOT,9
1,the,det,2,gods,9
2,gods,dobj,0,Thank,9
3,he,nsubj,6,have,9
4,did,aux,6,have,9
5,n't,neg,6,have,9
6,have,ccomp,0,Thank,9
7,to,aux,8,know,9
8,know,xcomp,6,have,9
9,of,prep,8,know,9
10,this,pobj,9,of,9
11,.,punct,0,Thank,9
