sentence,labeled_precision,labeled_recall,correct_gold_subtrees,labeled_f1_score,total_gold_subtrees,total_test_subtrees,unlabeled_precision,unlabeled_recall,unlabeled_f1_score,correct_gold_spans,total_gold_spans,total_test_spans,errors.PP,errors.S,confusion.PP.SBAR,confusion.PP.PP,confusion.S.S,confusion.NP.NP,confusion.VP.VP,errors.NP,errors.ADJP,confusion.PP.ADVP,confusion.SBAR.SBAR,confusion.ADJP.ADJP,errors.VP,confusion.ADVP.ADVP
"As she walked past it , the driver 's glass started to open .",0.9230769230769231,0.8571428571428571,12,0.888888888888889,14,13,1.0,0.9285714285714286,0.962962962962963,13,14,13,1.0,1.0,1.0,1.0,3,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
With a handkerchief she wiped the sweat from her forehead .,1.0,0.8888888888888888,8,0.9411764705882353,9,8,1.0,0.8888888888888888,0.9411764705882353,8,9,8,0.0,1.0,0.0,2.0,1,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Prudently , they had diversified into banking and insurance , and as a result their influence was felt at the highest level",0.8125,0.65,13,0.7222222222222223,20,16,0.875,0.7,0.7777777777777777,14,20,16,1.0,3.0,0.0,3.0,2,4,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
The arranged marriage would be the social event of the following year .,1.0,0.8888888888888888,8,0.9411764705882353,9,8,1.0,0.8888888888888888,0.9411764705882353,8,9,8,0.0,0.0,0.0,1.0,1,4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"When at last she spoke , her words were heavy and disjointed .",0.7,0.5384615384615384,7,0.608695652173913,13,10,0.8,0.6153846153846154,0.6956521739130435,8,13,10,1.0,3.0,0.0,0.0,1,2,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
The road to the coast was busy with traffic in both directions .,0.9090909090909091,0.9090909090909091,10,0.9090909090909091,11,11,0.9090909090909091,0.9090909090909091,0.9090909090909091,10,11,11,0.0,0.0,0.0,3.0,1,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
The expected date came and went .,1.0,1.0,5,1.0,5,5,1.0,1.0,1.0,5,5,5,0.0,0.0,0.0,0.0,1,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"She sighed at the irony of it all , the waste of it all .",0.4117647058823529,0.5384615384615384,7,0.4666666666666667,13,17,0.4117647058823529,0.5384615384615384,0.4666666666666667,7,13,17,2.0,0.0,0.0,1.0,1,5,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
All through August the rain hardly stopped .,0.5,0.5714285714285714,4,0.5333333333333333,7,8,0.5,0.5714285714285714,0.5333333333333333,4,7,8,1.0,0.0,0.0,0.0,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Thank the gods he did n't have to know of this .,1.0,1.0,14,1.0,14,14,1.0,1.0,1.0,14,14,14,0.0,0.0,0.0,1.0,3,4,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
